timestamp,u_propeller_pwm,u_rudder_pwm,x,y,yaw
1.600000000000000033e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.400000000000000244e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.099999999999999672e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.800000000000000488e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
8.500000000000000611e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.019999999999999934e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.189999999999999947e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.360000000000000098e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.529999999999999971e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.700000000000000122e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.880000000000000004e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.049999999999999878e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.220000000000000029e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.399999999999999911e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.580000000000000071e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.750000000000000222e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.919999999999999818e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.099999999999999978e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.260000000000000120e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.439999999999999725e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.609999999999999876e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.780000000000000027e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.950000000000000178e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.119999999999999774e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.289999999999999925e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.460000000000000075e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.630000000000000226e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.809999999999999831e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.979999999999999982e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.150000000000000133e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.330000000000000293e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.500000000000000444e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.679999999999999494e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.849999999999999645e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.019999999999999796e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.189999999999999947e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.370000000000000107e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
