timestamp,u_propeller_pwm,u_rudder_pwm,x,y,yaw
1.200000000000000025e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.999999999999999889e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.700000000000000011e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.500000000000000222e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
8.200000000000000344e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
9.900000000000000466e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.160000000000000059e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.330000000000000071e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.499999999999999944e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.670000000000000095e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.839999999999999969e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.010000000000000120e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.190000000000000002e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.359999999999999876e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.530000000000000027e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.700000000000000178e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.869999999999999774e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.059999999999999942e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.230000000000000093e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.400000000000000244e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.579999999999999849e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.750000000000000000e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.920000000000000151e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.089999999999999747e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.269999999999999907e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.440000000000000058e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.610000000000000209e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.779999999999999805e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.949999999999999956e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.140000000000000124e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.320000000000000284e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.490000000000000435e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.659999999999999476e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.829999999999999627e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
