timestamp,x,y,pwm_prop,pwm_rudder
2.699999999999999969e-02,-6.361349546445292935e-01,4.995037922123328755e-01,1.600000000000000000e+03,1.800000000000000000e+03
6.099999999999999867e-02,-6.417687999504094742e-01,4.997148866651187071e-01,1.600000000000000000e+03,1.800000000000000000e+03
9.400000000000000022e-02,-6.399632262129063554e-01,4.937664659438751880e-01,1.600000000000000000e+03,1.800000000000000000e+03
1.280000000000000027e-01,-6.399632262129063554e-01,4.937664659438751880e-01,1.600000000000000000e+03,1.800000000000000000e+03
1.610000000000000042e-01,-6.462251486668721956e-01,4.943975801368356571e-01,1.600000000000000000e+03,1.800000000000000000e+03
1.950000000000000067e-01,-6.447477890524334621e-01,4.890119372782044116e-01,1.600000000000000000e+03,1.800000000000000000e+03
2.290000000000000091e-01,-6.508171745915286577e-01,4.891591863923253625e-01,1.600000000000000000e+03,1.800000000000000000e+03
2.620000000000000107e-01,-6.508171745915286577e-01,4.891591863923253625e-01,1.600000000000000000e+03,1.800000000000000000e+03
2.959999999999999853e-01,-6.492279847238248136e-01,4.837429050120510832e-01,1.600000000000000000e+03,1.800000000000000000e+03
3.310000000000000164e-01,-6.504140905102911985e-01,4.804186918563138620e-01,1.600000000000000000e+03,1.800000000000000000e+03
3.649999999999999911e-01,-6.559062433791611468e-01,4.803816881458126131e-01,1.600000000000000000e+03,1.800000000000000000e+03
3.980000000000000204e-01,-6.559062433791611468e-01,4.803816881458126131e-01,1.600000000000000000e+03,1.800000000000000000e+03
4.319999999999999951e-01,-6.579341901994600894e-01,4.776170916132378430e-01,1.600000000000000000e+03,1.800000000000000000e+03
4.660000000000000253e-01,-6.589336461902973729e-01,4.741514666575114001e-01,1.600000000000000000e+03,1.800000000000000000e+03
5.000000000000000000e-01,-6.589336461902973729e-01,4.741514666575114001e-01,1.600000000000000000e+03,1.800000000000000000e+03
5.340000000000000302e-01,-6.589760949682624824e-01,4.698496081058573526e-01,1.600000000000000000e+03,1.800000000000000000e+03
5.669999999999999485e-01,-6.644076161069464304e-01,4.696890690589232142e-01,1.600000000000000000e+03,1.800000000000000000e+03
