timestamp,x,y,pwm_prop,pwm_rudder
2.800000000000000058e-02,-5.483710109215889084e-01,5.031298125512667641e-01,1.600000000000000000e+03,1.850000000000000000e+03
6.300000000000000044e-02,-5.582263764761800084e-01,4.957808342394229295e-01,1.600000000000000000e+03,1.850000000000000000e+03
9.700000000000000289e-02,-5.622689097463119401e-01,4.949903357657293168e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.310000000000000053e-01,-5.622689097463119401e-01,4.949903357657293168e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.650000000000000078e-01,-5.655883882825706310e-01,4.937604427241197858e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.990000000000000102e-01,-5.681342685142185545e-01,4.918700640945958269e-01,1.600000000000000000e+03,1.850000000000000000e+03
2.330000000000000127e-01,-5.681342685142185545e-01,4.918700640945958269e-01,1.600000000000000000e+03,1.850000000000000000e+03
2.660000000000000142e-01,-5.724523236563979767e-01,4.915144762676302848e-01,1.600000000000000000e+03,1.850000000000000000e+03
2.999999999999999889e-01,-5.770255520163823926e-01,4.911900577252683586e-01,1.600000000000000000e+03,1.850000000000000000e+03
3.340000000000000191e-01,-5.762988948439853321e-01,4.869117533705333289e-01,1.600000000000000000e+03,1.850000000000000000e+03
3.669999999999999929e-01,-5.776654729647855424e-01,4.838731123233562248e-01,1.600000000000000000e+03,1.850000000000000000e+03
4.010000000000000231e-01,-5.776654729647855424e-01,4.838731123233562248e-01,1.600000000000000000e+03,1.850000000000000000e+03
4.349999999999999978e-01,-5.835963762692243373e-01,4.841842205735100158e-01,1.600000000000000000e+03,1.850000000000000000e+03
4.689999999999999725e-01,-5.807038947092002523e-01,4.780318703318274243e-01,1.600000000000000000e+03,1.850000000000000000e+03
5.030000000000000027e-01,-5.851458285488331246e-01,4.773144608309798920e-01,1.600000000000000000e+03,1.850000000000000000e+03
5.370000000000000329e-01,-5.851458285488331246e-01,4.773144608309798920e-01,1.600000000000000000e+03,1.850000000000000000e+03
5.699999999999999512e-01,-5.909295267246309491e-01,4.782163631769359435e-01,1.600000000000000000e+03,1.850000000000000000e+03
6.039999999999999813e-01,-5.923088797910847081e-01,4.751899793072948408e-01,1.600000000000000000e+03,1.850000000000000000e+03
6.380000000000000115e-01,-5.923088797910847081e-01,4.751899793072948408e-01,1.600000000000000000e+03,1.850000000000000000e+03
6.720000000000000417e-01,-5.918913664467975178e-01,4.708157206586646160e-01,1.600000000000000000e+03,1.850000000000000000e+03
7.059999999999999609e-01,-5.956345307074475404e-01,4.696794339859559075e-01,1.600000000000000000e+03,1.850000000000000000e+03
7.389999999999999902e-01,-5.956345307074475404e-01,4.696794339859559075e-01,1.600000000000000000e+03,1.850000000000000000e+03
7.730000000000000204e-01,-5.963051049424166195e-01,4.663109659646795802e-01,1.600000000000000000e+03,1.850000000000000000e+03
8.070000000000000506e-01,-6.044664422052596908e-01,4.684214426128220921e-01,1.600000000000000000e+03,1.850000000000000000e+03
8.409999999999999698e-01,-6.058924711092690263e-01,4.657295959220544290e-01,1.600000000000000000e+03,1.850000000000000000e+03
8.739999999999999991e-01,-6.058924711092690263e-01,4.657295959220544290e-01,1.600000000000000000e+03,1.850000000000000000e+03
9.080000000000000293e-01,-6.055340983535005828e-01,4.617962640126750951e-01,1.600000000000000000e+03,1.850000000000000000e+03
9.419999999999999485e-01,-6.136397485139157837e-01,4.518254780162702100e-01,1.600000000000000000e+03,1.850000000000000000e+03
9.749999999999999778e-01,-6.136397485139157837e-01,4.518254780162702100e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.008999999999999897e+00,-6.201282662604391538e-01,4.529936618329728493e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.042999999999999927e+00,-6.172734860496464915e-01,4.465287785885643235e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.076000000000000068e+00,-6.201972145414154092e-01,4.450065095897974277e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.110000000000000098e+00,-6.201972145414154092e-01,4.450065095897974277e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.143999999999999906e+00,-6.250974815815156793e-01,4.445066713070965347e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.177999999999999936e+00,-6.254099726379699353e-01,4.409335943835830385e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.211000000000000076e+00,-6.254099726379699353e-01,4.409335943835830385e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.245000000000000107e+00,-6.287837238589314426e-01,4.393059031897699196e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.278999999999999915e+00,-6.300546582316860489e-01,4.365689147629715494e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.312999999999999945e+00,-6.352502491971750986e-01,4.363096291228630852e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.346999999999999975e+00,-6.352502491971750986e-01,4.363096291228630852e-01,1.600000000000000000e+03,1.850000000000000000e+03
