timestamp,x,y,pwm_prop,pwm_rudder
6.000000000000000125e-03,-6.969161580573377535e-01,4.607256224152153079e-01,1.600000000000000000e+03,1.850000000000000000e+03
4.000000000000000083e-02,-6.969161580573377535e-01,4.607256224152153079e-01,1.600000000000000000e+03,1.850000000000000000e+03
7.399999999999999634e-02,-7.039255199624512294e-01,4.618096450043164825e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.089999999999999997e-01,-7.021170133689835779e-01,4.566551754213212799e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.429999999999999882e-01,-7.102112863556256928e-01,4.580241928926876982e-01,1.600000000000000000e+03,1.850000000000000000e+03
1.769999999999999907e-01,-7.102112863556256928e-01,4.580241928926876982e-01,1.600000000000000000e+03,1.850000000000000000e+03
2.099999999999999922e-01,-7.074655000401756100e-01,4.525403810218753264e-01,1.600000000000000000e+03,1.850000000000000000e+03
2.439999999999999947e-01,-7.170138329711523983e-01,4.436148401149536680e-01,1.600000000000000000e+03,1.850000000000000000e+03
2.780000000000000249e-01,-7.170138329711523983e-01,4.436148401149536680e-01,1.600000000000000000e+03,1.850000000000000000e+03
3.119999999999999996e-01,-7.159941754444482109e-01,4.393073621667842321e-01,1.600000000000000000e+03,1.850000000000000000e+03
3.459999999999999742e-01,-7.204880956666031011e-01,4.380388618231718656e-01,1.600000000000000000e+03,1.850000000000000000e+03
3.790000000000000036e-01,-7.209882925510637808e-01,4.346264491500588800e-01,1.600000000000000000e+03,1.850000000000000000e+03
4.129999999999999782e-01,-7.209882925510637808e-01,4.346264491500588800e-01,1.600000000000000000e+03,1.850000000000000000e+03
4.470000000000000084e-01,-7.221923691889385877e-01,4.316769273328683321e-01,1.600000000000000000e+03,1.850000000000000000e+03
4.809999999999999831e-01,-7.244533080016346549e-01,4.294894176913325312e-01,1.600000000000000000e+03,1.850000000000000000e+03
5.150000000000000133e-01,-7.266012158942921628e-01,4.273366548607731019e-01,1.600000000000000000e+03,1.850000000000000000e+03
5.480000000000000426e-01,-7.266012158942921628e-01,4.273366548607731019e-01,1.600000000000000000e+03,1.850000000000000000e+03
5.819999999999999618e-01,-7.269362350494934510e-01,4.232765990816272361e-01,1.600000000000000000e+03,1.850000000000000000e+03
6.159999999999999920e-01,-7.302736728247661846e-01,4.216062617113799926e-01,1.600000000000000000e+03,1.850000000000000000e+03
6.500000000000000222e-01,-7.303061133911699088e-01,4.180797866526084205e-01,1.600000000000000000e+03,1.850000000000000000e+03
6.830000000000000515e-01,-7.303061133911699088e-01,4.180797866526084205e-01,1.600000000000000000e+03,1.850000000000000000e+03
7.169999999999999707e-01,-7.372397961609983286e-01,4.183832701578764079e-01,1.600000000000000000e+03,1.850000000000000000e+03
7.510000000000000009e-01,-7.383351195412344303e-01,4.152602344359123676e-01,1.600000000000000000e+03,1.850000000000000000e+03
7.840000000000000302e-01,-7.355506396280099279e-01,4.101898002539706711e-01,1.600000000000000000e+03,1.850000000000000000e+03
8.189999999999999503e-01,-7.371168048206970802e-01,4.073616716556716644e-01,1.600000000000000000e+03,1.850000000000000000e+03
