timestamp,u_propeller_pwm,u_rudder_pwm,x,y,yaw
5.000000000000000104e-03,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.299999999999999961e-02,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.000000000000000083e-02,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.700000000000000205e-02,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.399999999999999634e-02,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
9.099999999999999756e-02,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.089999999999999997e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.260000000000000009e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.429999999999999882e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.600000000000000033e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.769999999999999907e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.940000000000000058e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.109999999999999931e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.280000000000000082e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.449999999999999956e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.620000000000000107e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.790000000000000258e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.959999999999999853e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.130000000000000004e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.300000000000000155e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.469999999999999751e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.639999999999999902e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.810000000000000053e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.980000000000000204e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.159999999999999809e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.329999999999999960e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.500000000000000111e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.660000000000000253e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.839999999999999858e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.010000000000000009e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.180000000000000160e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.350000000000000311e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.520000000000000462e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.689999999999999503e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.859999999999999654e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.029999999999999805e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.199999999999999956e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.370000000000000107e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.550000000000000266e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.730000000000000426e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.909999999999999476e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.079999999999999627e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.249999999999999778e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.419999999999999929e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.590000000000000080e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.760000000000000231e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.930000000000000382e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
8.110000000000000542e-01,1.675000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
8.279999999999999583e-01,1.675000000000000000e+03,1.500000000000000000e+03,1.926519328457531932e+00,-1.249592655021760645e+00,1.977691374128017543e+00
8.449999999999999734e-01,1.675000000000000000e+03,1.500000000000000000e+03,1.925020896610045940e+00,-1.250975173097777837e+00,1.977716163467499788e+00
8.619999999999999885e-01,1.675000000000000000e+03,1.500000000000000000e+03,1.925020896610045940e+00,-1.250975173097777837e+00,1.977716163467499788e+00
8.790000000000000036e-01,1.675000000000000000e+03,1.500000000000000000e+03,1.925020896610045940e+00,-1.250975173097777837e+00,1.977716163467499788e+00
8.960000000000000187e-01,1.675000000000000000e+03,1.500000000000000000e+03,1.923482006516064269e+00,-1.250905774884742971e+00,1.984198235680810773e+00
9.130000000000000338e-01,1.675000000000000000e+03,1.500000000000000000e+03,1.922579484022843621e+00,-1.251589797090749911e+00,1.978604407826662248e+00
9.300000000000000488e-01,1.675000000000000000e+03,1.500000000000000000e+03,1.922579484022843621e+00,-1.251589797090749911e+00,1.978604407826662248e+00
9.479999999999999538e-01,1.675000000000000000e+03,1.500000000000000000e+03,1.921082913703410888e+00,-1.252971081870460246e+00,1.979068638408326697e+00
9.659999999999999698e-01,1.675000000000000000e+03,1.500000000000000000e+03,1.919852273041622537e+00,-1.252915606736253462e+00,1.979300691046480098e+00
9.829999999999999849e-01,1.675000000000000000e+03,1.500000000000000000e+03,1.917434225011407145e+00,-1.254254488245067023e+00,1.979980687340531453e+00
1.000000000000000000e+00,1.675000000000000000e+03,1.500000000000000000e+03,1.917434225011407145e+00,-1.254254488245067023e+00,1.979980687340531453e+00
1.018000000000000016e+00,1.675000000000000000e+03,1.500000000000000000e+03,1.915918184856686857e+00,-1.254909768500791944e+00,1.968064921900425368e+00
1.034999999999999920e+00,1.675000000000000000e+03,1.500000000000000000e+03,1.914358225501997968e+00,-1.254115842400296721e+00,1.968299305440367020e+00
1.052000000000000046e+00,1.675000000000000000e+03,1.500000000000000000e+03,1.912534976683095023e+00,-1.254757291203640435e+00,1.968767948018205871e+00
1.068999999999999950e+00,1.675000000000000000e+03,1.500000000000000000e+03,1.912534976683095023e+00,-1.254757291203640435e+00,1.968767948018205871e+00
1.086000000000000076e+00,1.675000000000000000e+03,1.500000000000000000e+03,1.912534976683095023e+00,-1.254757291203640435e+00,1.968767948018205871e+00
1.102999999999999980e+00,1.675000000000000000e+03,1.500000000000000000e+03,1.911657473326246359e+00,-1.256164332891088531e+00,1.969002207006210758e+00
