timestamp,u_propeller_pwm,u_rudder_pwm,x,y,yaw
2.000000000000000042e-03,1.500000000000000000e+03,1.500000000000000000e+03,-9.349859566974483283e-01,5.273813443274518731e-01,1.633851796564529169e+00
2.000000000000000042e-02,1.500000000000000000e+03,1.500000000000000000e+03,-9.349859566974483283e-01,5.273813443274518731e-01,1.633851796564529169e+00
3.699999999999999817e-02,1.500000000000000000e+03,1.500000000000000000e+03,-9.349859566974483283e-01,5.273813443274518731e-01,1.633851796564529169e+00
5.399999999999999939e-02,1.500000000000000000e+03,1.500000000000000000e+03,-9.349859566974483283e-01,5.273813443274518731e-01,1.633851796564529169e+00
7.099999999999999367e-02,1.500000000000000000e+03,1.500000000000000000e+03,-9.345748419998314294e-01,5.273682587865821114e-01,1.623666892609408219e+00
8.799999999999999489e-02,1.500000000000000000e+03,1.500000000000000000e+03,-9.345748419998314294e-01,5.273682587865821114e-01,1.623666892609408219e+00
1.059999999999999970e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.345748419998314294e-01,5.273682587865821114e-01,1.623666892609408219e+00
1.229999999999999982e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.345748419998314294e-01,5.273682587865821114e-01,1.623666892609408219e+00
1.400000000000000133e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.343626273521998815e-01,5.267796722264920239e-01,1.628306444804531905e+00
1.570000000000000007e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.343626273521998815e-01,5.267796722264920239e-01,1.628306444804531905e+00
1.739999999999999880e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.345614538989934772e-01,5.262044282279768614e-01,1.628306444804531905e+00
1.920000000000000040e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.345614538989934772e-01,5.262044282279768614e-01,1.628306444804531905e+00
2.089999999999999913e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.339383848558270307e-01,5.256033328345662836e-01,1.628306444804531905e+00
2.270000000000000073e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.335274506863935340e-01,5.255902807413043165e-01,1.628306444804531905e+00
2.439999999999999947e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.335274506863935340e-01,5.255902807413043165e-01,1.628306444804531905e+00
2.610000000000000098e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.343359194269255097e-01,5.244541722101526693e-01,1.623469098499557228e+00
2.790000000000000258e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.343359194269255097e-01,5.244541722101526693e-01,1.623469098499557228e+00
2.959999999999999853e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.339251665125507529e-01,5.244411367670190893e-01,1.613530332950137591e+00
3.130000000000000004e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.341238800935800501e-01,5.238669524179045967e-01,1.618604015025531417e+00
3.300000000000000155e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.341238800935800501e-01,5.238669524179045967e-01,1.618604015025531417e+00
3.469999999999999751e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.335012845335665110e-01,5.232669945332041328e-01,1.623256939075107486e+00
3.649999999999999911e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.335012845335665110e-01,5.232669945332041328e-01,1.623256939075107486e+00
3.820000000000000062e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.335012845335665110e-01,5.232669945332041328e-01,1.623256939075107486e+00
3.990000000000000213e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.341105144606869359e-01,5.227063495051226250e-01,1.623256939075107486e+00
4.159999999999999809e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.335012845335665110e-01,5.232669945332041328e-01,1.623256939075107486e+00
4.339999999999999969e-01,1.500000000000000000e+03,1.500000000000000000e+03,-9.335012845335665110e-01,5.232669945332041328e-01,1.623256939075107486e+00
