timestamp,u_propeller_pwm,u_rudder_pwm,x,y,yaw
6.000000000000000125e-03,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.299999999999999961e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.000000000000000083e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.800000000000000294e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.499999999999999722e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
9.199999999999999845e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.089999999999999997e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.260000000000000009e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.439999999999999891e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.610000000000000042e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.779999999999999916e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.950000000000000067e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.119999999999999940e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.290000000000000091e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.469999999999999973e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.650000000000000133e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.819999999999999729e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.989999999999999880e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.160000000000000031e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.330000000000000182e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.509999999999999787e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.669999999999999929e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.840000000000000080e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.020000000000000240e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.189999999999999836e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.359999999999999987e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.540000000000000147e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.709999999999999742e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.879999999999999893e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.050000000000000044e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.230000000000000204e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.400000000000000355e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.570000000000000506e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.749999999999999556e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.929999999999999716e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.099999999999999867e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.260000000000000009e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.430000000000000160e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.610000000000000320e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.780000000000000471e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.949999999999999512e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.119999999999999662e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.299999999999999822e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.469999999999999973e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.640000000000000124e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
