timestamp,u_propeller_pwm,u_rudder_pwm,x,y,yaw
4.000000000000000083e-03,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.599999999999999881e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.299999999999999656e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.999999999999999778e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.699999999999999900e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
9.400000000000000022e-02,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.120000000000000023e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.290000000000000036e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.489999999999999936e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.650000000000000078e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
1.829999999999999960e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.000000000000000111e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.169999999999999984e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.340000000000000135e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.510000000000000009e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.680000000000000160e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
2.849999999999999756e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.019999999999999907e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.200000000000000067e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.370000000000000218e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.539999999999999813e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.709999999999999964e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
3.890000000000000124e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.060000000000000275e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.229999999999999871e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.410000000000000031e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.580000000000000182e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.749999999999999778e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
4.919999999999999929e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.100000000000000089e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.280000000000000249e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.450000000000000400e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.620000000000000551e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.789999999999999591e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
5.969999999999999751e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.149999999999999911e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.320000000000000062e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.490000000000000213e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.660000000000000364e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
6.840000000000000524e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.019999999999999574e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.199999999999999734e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
7.369999999999999885e-01,1.500000000000000000e+03,1.500000000000000000e+03,nan,nan,nan
