timestamp,x,y,pwm_prop,pwm_rudder
1.700000000000000122e-02,-5.827885429610427659e-01,4.278077649121883042e-01,1.600000000000000000e+03,1.750000000000000000e+03
5.099999999999999672e-02,-5.871446573806311520e-01,4.263640719693050363e-01,1.600000000000000000e+03,1.750000000000000000e+03
8.500000000000000611e-02,-5.901119407942490014e-01,4.244257240073834869e-01,1.600000000000000000e+03,1.750000000000000000e+03
1.179999999999999938e-01,-5.901119407942490014e-01,4.244257240073834869e-01,1.600000000000000000e+03,1.750000000000000000e+03
1.519999999999999962e-01,-6.028191774197688702e-01,4.152617069151490758e-01,1.600000000000000000e+03,1.750000000000000000e+03
1.859999999999999987e-01,-6.054079255842961249e-01,4.124949050030625175e-01,1.600000000000000000e+03,1.750000000000000000e+03
2.200000000000000011e-01,-6.054079255842961249e-01,4.124949050030625175e-01,1.600000000000000000e+03,1.750000000000000000e+03
2.540000000000000036e-01,-6.074348368174898871e-01,4.093952230055961650e-01,1.600000000000000000e+03,1.750000000000000000e+03
2.879999999999999782e-01,-6.140400949182338586e-01,4.092203313613342885e-01,1.600000000000000000e+03,1.750000000000000000e+03
3.210000000000000075e-01,-6.140400949182338586e-01,4.092203313613342885e-01,1.600000000000000000e+03,1.750000000000000000e+03
3.549999999999999822e-01,-6.132096214697473346e-01,4.042820046394363653e-01,1.600000000000000000e+03,1.750000000000000000e+03
3.900000000000000133e-01,-6.161589631781804188e-01,4.017716266358735133e-01,1.600000000000000000e+03,1.750000000000000000e+03
4.229999999999999871e-01,-6.233384312765255508e-01,4.019307677881459595e-01,1.600000000000000000e+03,1.750000000000000000e+03
4.570000000000000173e-01,-6.233384312765255508e-01,4.019307677881459595e-01,1.600000000000000000e+03,1.750000000000000000e+03
4.909999999999999920e-01,-6.241249573747484902e-01,3.981353505877633925e-01,1.600000000000000000e+03,1.750000000000000000e+03
5.250000000000000222e-01,-6.229758994678813444e-01,3.929957077474857674e-01,1.600000000000000000e+03,1.750000000000000000e+03
5.600000000000000533e-01,-6.249102845164281606e-01,3.899145780361163993e-01,1.600000000000000000e+03,1.750000000000000000e+03
5.939999999999999725e-01,-6.249102845164281606e-01,3.899145780361163993e-01,1.600000000000000000e+03,1.750000000000000000e+03
6.280000000000000027e-01,-6.301468704173057711e-01,3.885299410927659514e-01,1.600000000000000000e+03,1.750000000000000000e+03
6.610000000000000320e-01,-6.333624646045541429e-01,3.862268241572823224e-01,1.600000000000000000e+03,1.750000000000000000e+03
6.949999999999999512e-01,-6.333624646045541429e-01,3.862268241572823224e-01,1.600000000000000000e+03,1.750000000000000000e+03
7.289999999999999813e-01,-6.345471015225181421e-01,3.826027049005411573e-01,1.600000000000000000e+03,1.750000000000000000e+03
7.630000000000000115e-01,-6.404423217114199041e-01,3.821750364476409478e-01,1.600000000000000000e+03,1.750000000000000000e+03
7.960000000000000409e-01,-6.440044603110658405e-01,3.800587647638949962e-01,1.600000000000000000e+03,1.750000000000000000e+03
8.299999999999999600e-01,-6.440044603110658405e-01,3.800587647638949962e-01,1.600000000000000000e+03,1.750000000000000000e+03
8.639999999999999902e-01,-6.508550513270973115e-01,3.664591418830929204e-01,1.600000000000000000e+03,1.750000000000000000e+03
8.990000000000000213e-01,-6.569468674672253039e-01,3.658834902750803253e-01,1.600000000000000000e+03,1.750000000000000000e+03
9.330000000000000515e-01,-6.569468674672253039e-01,3.658834902750803253e-01,1.600000000000000000e+03,1.750000000000000000e+03
9.659999999999999698e-01,-6.574305033428653466e-01,3.618323164944728942e-01,1.600000000000000000e+03,1.750000000000000000e+03
1.000000000000000000e+00,-6.582532304453887484e-01,3.582600610296177157e-01,1.600000000000000000e+03,1.750000000000000000e+03
1.034000000000000030e+00,-6.644191938005661324e-01,3.573925803495365816e-01,1.600000000000000000e+03,1.750000000000000000e+03
1.068000000000000060e+00,-6.644191938005661324e-01,3.573925803495365816e-01,1.600000000000000000e+03,1.750000000000000000e+03
1.102000000000000091e+00,-6.657801747070498655e-01,3.540593182509093606e-01,1.600000000000000000e+03,1.750000000000000000e+03
1.135999999999999899e+00,-6.650110469179147943e-01,3.491910079427252844e-01,1.600000000000000000e+03,1.750000000000000000e+03
1.169999999999999929e+00,-6.650110469179147943e-01,3.491910079427252844e-01,1.600000000000000000e+03,1.750000000000000000e+03
